minute,radiant_gold_adv,radiant_xp_adv,match_id
46,10916,12157,4072699199
47,13244,12618,4072699199
48,11549,10419,4072699199
49,10310,10147,4072699199
50,9685,9348,4072699199
51,9954,9002,4072699199
52,10092,7169,4072699199
1,0,0,4072772695
2,-368,-83,4072772695
3,107,127,4072772695
4,79,548,4072772695
5,402,1043,4072772695
6,747,1585,4072772695
7,898,951,4072772695
8,1050,937,4072772695
9,1725,1619,4072772695
10,2294,2534,4072772695
11,1963,2518,4072772695
12,3129,3587,4072772695
13,3806,3117,4072772695
14,3641,2863,4072772695
15,4154,3124,4072772695
16,4816,4468,4072772695
17,6504,6013,4072772695
18,6978,5484,4072772695
19,7121,5252,4072772695
20,8062,5615,4072772695
21,7627,4409,4072772695
22,6972,3637,4072772695
23,6929,4183,4072772695
24,7342,3760,4072772695
25,6126,2639,4072772695
26,5010,989,4072772695
27,3209,11,4072772695
28,3831,3870,4072772695
29,4675,5790,4072772695
30,5453,9349,4072772695
31,7515,8969,4072772695
32,8012,7653,4072772695
33,7917,8433,4072772695
34,12040,15528,4072772695
35,8433,6482,4072772695
36,8597,9240,4072772695
1,0,0,4076043995
2,640,350,4076043995
3,574,124,4076043995
4,610,610,4076043995
5,1148,1439,4076043995
6,1213,1689,4076043995
7,1219,2130,4076043995
8,704,1634,4076043995
9,622,1718,4076043995
10,353,1508,4076043995
11,373,1600,4076043995
12,-989,2532,4076043995
13,-246,2554,4076043995
14,75,3427,4076043995
15,-357,1528,4076043995
16,263,1573,4076043995
17,-169,934,4076043995
18,717,1765,4076043995
19,1495,2851,4076043995
20,1693,3004,4076043995
21,3361,5019,4076043995
22,4198,4677,4076043995
23,5789,6257,4076043995
24,5518,5875,4076043995
25,5922,5945,4076043995
26,8605,11051,4076043995
27,9796,10054,4076043995
28,11227,12868,4076043995
29,11931,14056,4076043995
30,14100,16479,4076043995
31,15363,17704,4076043995
32,15241,11950,4076043995
1,0,0,4076114893
2,228,-46,4076114893
3,627,135,4076114893
4,572,-429,4076114893
5,1225,-274,4076114893
6,653,-381,4076114893
7,761,-372,4076114893
8,349,-1072,4076114893
9,305,-1613,4076114893
10,-285,-2797,4076114893
11,-1136,-3659,4076114893
12,-1396,-3565,4076114893
13,-2146,-4761,4076114893
14,-152,-2105,4076114893
15,-187,-2706,4076114893
16,-228,-3454,4076114893
17,-1042,-4073,4076114893
18,-2138,-5280,4076114893
19,-2643,-6208,4076114893
20,-3072,-8030,4076114893
21,-5215,-12404,4076114893
22,-7191,-12403,4076114893
23,-6804,-13954,4076114893
24,-7932,-14265,4076114893
25,-8760,-15674,4076114893
26,-9107,-15510,4076114893
27,-9449,-17558,4076114893
28,-10721,-20357,4076114893
29,-10783,-21340,4076114893
30,-9509,-18747,4076114893
31,-6572,-13542,4076114893
32,-5754,-11837,4076114893
33,-2996,-7602,4076114893
34,-2602,-13543,4076114893
35,-2836,-15956,4076114893
36,-3325,-20704,4076114893
37,-7350,-25253,4076114893
38,-11041,-23316,4076114893
39,-10646,-23117,4076114893
40,-12088,-23425,4076114893
41,-13822,-33297,4076114893
42,-19714,-36167,4076114893
43,-20730,-34725,4076114893
1,0,0,4076188379
2,212,388,4076188379
3,-502,-289,4076188379
4,-185,211,4076188379
5,24,415,4076188379
6,411,440,4076188379
7,1244,204,4076188379
8,836,-447,4076188379
9,1165,414,4076188379
10,1293,225,4076188379
11,1380,588,4076188379
12,2407,1099,4076188379
13,674,-49,4076188379
14,778,-266,4076188379
15,218,-584,4076188379
16,38,-968,4076188379
17,1467,605,4076188379
18,2701,2482,4076188379
19,2271,1827,4076188379
20,2223,2624,4076188379
21,3637,4545,4076188379
22,6305,6652,4076188379
23,7247,8904,4076188379
24,8812,9205,4076188379
25,9438,8565,4076188379
26,12216,10448,4076188379
1,0,0,4076257095
2,-292,370,4076257095
3,-560,-51,4076257095
4,-714,-387,4076257095
5,-1138,-341,4076257095
6,-1184,-473,4076257095
7,-141,-888,4076257095
8,59,-309,4076257095
9,348,91,4076257095
10,553,528,4076257095
11,1124,274,4076257095
12,2557,813,4076257095
13,2967,1265,4076257095
14,2858,907,4076257095
15,2725,360,4076257095
16,3722,2570,4076257095
17,5724,3353,4076257095
18,6722,4993,4076257095
19,8192,5895,4076257095
20,8775,6853,4076257095
21,9981,7595,4076257095
22,13328,7653,4076257095
23,13343,7122,4076257095
24,13677,7301,4076257095
25,14114,7295,4076257095
26,14030,6927,4076257095
27,15548,8883,4076257095
28,15865,7297,4076257095
29,16186,8069,4076257095
30,17733,10961,4076257095
31,18012,11461,4076257095
32,18967,14459,4076257095
33,19457,14260,4076257095
1,0,0,4076314248
2,-53,-215,4076314248
3,-37,22,4076314248
4,130,258,4076314248
5,440,837,4076314248
6,166,444,4076314248
7,643,302,4076314248
8,1051,709,4076314248
9,570,-193,4076314248
10,710,-931,4076314248
11,454,-1738,4076314248
12,-89,-3243,4076314248
13,-777,-1696,4076314248
14,-933,-3240,4076314248
15,-1462,-2812,4076314248
16,-1429,-2831,4076314248
17,-2069,-2001,4076314248
18,-2341,-3501,4076314248
19,-2505,-3921,4076314248
20,-1089,-1467,4076314248
21,-1002,-1299,4076314248
22,-1587,-1847,4076314248
23,1125,6,4076314248
24,339,-1586,4076314248
25,1124,-1189,4076314248
26,543,-2176,4076314248
27,1046,-2885,4076314248
28,953,-3638,4076314248
29,-1904,-8880,4076314248
30,-1891,-8675,4076314248
31,-1649,-8344,4076314248
32,-2651,-8195,4076314248
33,-2060,-6847,4076314248
34,-2510,-7318,4076314248
35,-2851,-7224,4076314248
36,-3477,-12942,4076314248
37,-6554,-15726,4076314248
38,-5453,-13344,4076314248
39,-7044,-14684,4076314248
40,-7964,-15576,4076314248
41,-8730,-17146,4076314248
42,-11898,-19589,4076314248
43,-11476,-16440,4076314248
44,-11703,-17829,4076314248
45,-12503,-17360,4076314248
46,-13017,-17291,4076314248
47,-12544,-13249,4076314248
48,-13782,-14746,4076314248
49,-14839,-15134,4076314248
50,-15797,-15714,4076314248
51,-13800,-11962,4076314248
52,-11242,-8990,4076314248
53,-5530,-9808,4076314248
54,-4904,-8622,4076314248
55,-5175,-9673,4076314248
56,938,-9146,4076314248
1,0,0,4076431752
2,-64,-137,4076431752
3,29,-201,4076431752
4,-29,28,4076431752
5,-435,-99,4076431752
6,-1097,-995,4076431752
7,-586,-168,4076431752
8,-1359,-85,4076431752
9,-1928,-972,4076431752
10,-1889,-993,4076431752
11,-1991,-1239,4076431752
12,-3316,-2477,4076431752
13,-2642,-753,4076431752
14,-2233,-205,4076431752
15,-3474,-1159,4076431752
16,-3024,-1088,4076431752
17,-3021,-1114,4076431752
18,-2762,-867,4076431752
19,-3080,-1567,4076431752
20,-2957,-1926,4076431752
21,-3074,-2400,4076431752
22,-3954,-3248,4076431752
23,-3511,-1280,4076431752
24,-4563,-1951,4076431752
25,-5432,-2602,4076431752
26,-6616,-4729,4076431752
27,-6986,-5113,4076431752
28,-5777,-3122,4076431752
29,-5706,-2309,4076431752
30,-6704,-5298,4076431752
31,-7500,-6085,4076431752
32,-9178,-5699,4076431752
33,-9710,-6289,4076431752
34,-9254,-6871,4076431752
35,-11538,-9912,4076431752
36,-12369,-11019,4076431752
1,0,0,4076485641
2,50,-239,4076485641
3,168,245,4076485641
4,-659,-469,4076485641
5,-506,-595,4076485641
6,-846,-1294,4076485641
7,-702,-853,4076485641
8,-1593,-1421,4076485641
9,-839,-555,4076485641
10,-1561,-1630,4076485641
11,-1032,-1137,4076485641
12,-689,-1601,4076485641
13,-226,-26,4076485641
14,-148,656,4076485641
15,-438,400,4076485641
16,665,1204,4076485641
17,1582,2067,4076485641
18,2848,3145,4076485641
19,4215,5790,4076485641
20,6263,7729,4076485641
21,7561,8290,4076485641
22,10745,11120,4076485641
23,9668,7049,4076485641
24,10312,7739,4076485641
25,10235,7797,4076485641
26,9451,5225,4076485641
27,8839,4002,4076485641
28,9084,2852,4076485641
29,9947,4694,4076485641
30,6796,-643,4076485641
31,5975,-1826,4076485641
32,7518,2278,4076485641
33,9018,2911,4076485641
34,9541,3445,4076485641
35,11883,3908,4076485641
36,13368,5076,4076485641
37,13880,1810,4076485641
38,14074,1585,4076485641
39,12512,-2222,4076485641
40,11741,-3764,4076485641
41,15235,110,4076485641
42,18448,1270,4076485641
43,20349,4754,4076485641
44,19658,3598,4076485641
45,20018,2949,4076485641
46,20536,2715,4076485641
47,21066,3014,4076485641
1,0,0,4074178274
2,-123,248,4074178274
3,-311,184,4074178274
4,-399,162,4074178274
5,-426,-6,4074178274
6,-985,-397,4074178274
7,-1338,-1361,4074178274
8,-1497,-1830,4074178274
9,-588,-421,4074178274
10,-739,-388,4074178274
11,-1691,-1304,4074178274
12,-1603,-1569,4074178274
13,-2445,-2072,4074178274
14,-2977,-2975,4074178274
15,-2150,-770,4074178274
16,-1858,-1032,4074178274
17,-2360,-2344,4074178274
18,-3764,-5640,4074178274
19,-3612,-4607,4074178274
20,-6011,-8313,4074178274
21,-6606,-8474,4074178274
22,-8521,-11610,4074178274
23,-9339,-13143,4074178274
24,-7663,-7883,4074178274
25,-8776,-9575,4074178274
26,-9470,-9653,4074178274
27,-9545,-9163,4074178274
28,-10280,-11581,4074178274
29,-10554,-11551,4074178274
30,-11744,-13099,4074178274
31,-13926,-16246,4074178274
32,-17851,-23003,4074178274
33,-21680,-23063,4074178274
34,-24725,-26823,4074178274
1,0,0,4074255285
2,-86,100,4074255285
3,-645,-218,4074255285
4,-504,-397,4074255285
5,-1233,-996,4074255285
6,-1491,-939,4074255285
7,-1737,-310,4074255285
8,-2343,-1564,4074255285
9,-2512,-1786,4074255285
10,-712,-446,4074255285
11,-1232,-976,4074255285
12,-1167,-789,4074255285
13,644,700,4074255285
14,202,29,4074255285
15,1249,1129,4074255285
16,2126,1008,4074255285
17,3342,1689,4074255285
18,3361,834,4074255285
19,3831,1757,4074255285
20,3804,1250,4074255285
21,3976,1366,4074255285
22,5385,2355,4074255285
23,5906,2895,4074255285
24,5665,2285,4074255285
25,5216,2701,4074255285
26,6207,8349,4074255285
27,8856,9193,4074255285
28,11362,14776,4074255285
1,0,0,4074356696
2,81,337,4074356696
3,384,395,4074356696
4,76,-223,4074356696
5,93,-331,4074356696
6,-718,-673,4074356696
7,-211,49,4074356696
8,-1140,-1511,4074356696
9,-615,-943,4074356696
10,-688,-1091,4074356696
11,-407,-1663,4074356696
12,-645,-3081,4074356696
13,156,-2448,4074356696
14,-21,-2247,4074356696
15,333,-1420,4074356696
16,-74,-2445,4074356696
17,59,-2101,4074356696
18,-665,-3253,4074356696
19,-847,-3016,4074356696
20,-1134,-3499,4074356696
21,-1107,-3662,4074356696
22,-199,-2598,4074356696
23,-902,-4001,4074356696
24,-1560,-4716,4074356696
