end,last_death,match_id,start
2022,2007,3964347005,1964
2514,2499,3964347005,2469
2737,2722,3964347005,2696
2774,2759,3964347005,2730
292,277,4072354014,245
626,611,4072354014,584
815,800,4072354014,759
1200,1185,4072354014,1151
1376,1361,4072354014,1334
1469,1454,4072354014,1418
1670,1655,4072354014,1634
2018,2003,4072354014,1952
720,705,4063572817,676
821,806,4063572817,786
1009,994,4063572817,970
1238,1223,4063572817,1193
1630,1615,4063572817,1585
2029,2014,4063572817,1977
855,840,4064872015,818
992,977,4064872015,956
1734,1719,4064872015,1692
2004,1989,4064872015,1958
2766,2751,4064872015,2717
3570,3555,4064872015,3517
534,519,4066505440,482
703,688,4066505440,664
1122,1107,4066505440,1079
1247,1232,4066505440,1198
1810,1795,4066505440,1753
2021,2006,4066505440,1979
2409,2394,4066505440,2365
2548,2533,4066505440,2510
992,977,4063286002,955
1224,1209,4063286002,1182
1287,1272,4063286002,1224
1467,1452,4063286002,1424
1716,1701,4063286002,1677
1771,1756,4063286002,1729
1862,1847,4063286002,1827
500,485,3960760412,452
1480,1465,3960760412,1427
1819,1804,3960760412,1777
2236,2221,3960760412,2180
2315,2300,3960760412,2264
2545,2530,3960760412,2499
348,333,4063430773,304
580,565,4063430773,531
641,626,4063430773,594
1153,1138,4063430773,1099
1544,1529,4063430773,1482
1758,1743,4063430773,1717
1945,1930,4063430773,1901
508,493,3967391784,473
559,544,3967391784,502
788,773,3967391784,740
878,863,3967391784,828
953,938,3967391784,914
1318,1303,3967391784,1283
1396,1381,3967391784,1351
1495,1480,3967391784,1449
1642,1627,3967391784,1593
1996,1981,3967391784,1954
156,141,4061971770,119
867,852,4061971770,829
1099,1084,4061971770,1056
1925,1910,4061971770,1879
2146,2131,4061971770,2092
2218,2203,4061971770,2176
2399,2384,4061971770,2352
2576,2561,4061971770,2522
567,552,4062142571,525
884,869,4062142571,841
1242,1227,4062142571,1190
1471,1456,4062142571,1432
1747,1732,4062142571,1700
